stars,date,useful,funny,cool,user_id,review_id,user_name,review_count
4,"2004-10-19 00:00:00",0,1,0,nkN_do3fJ9xekchVC-v68A,0QHCY_55TFHHvyumEMpDew,Jeremy,1317
4,"2004-10-19 00:00:00",0,0,0,nkN_do3fJ9xekchVC-v68A,1Iobyi_7BkFON25Oegs0aw,Jeremy,1317
4,"2004-10-19 00:00:00",0,0,0,nkN_do3fJ9xekchVC-v68A,2F5J51OYtD49eyIUKJKVgg,Jeremy,1317
5,"2004-10-19 00:00:00",4,2,4,nkN_do3fJ9xekchVC-v68A,xW294l3Lwh0cxlHU1jwRDA,Jeremy,1317
4,"2004-10-19 00:00:00",0,0,0,nkN_do3fJ9xekchVC-v68A,pho1XNCTeRxQVzWR_5vacg,Jeremy,1317
4,"2009-03-15 00:00:00",21,11,14,nkN_do3fJ9xekchVC-v68A,AaS88PgjrvGJpo3KdvOSWw,Jeremy,1317
3,"2009-03-15 00:00:00",8,6,7,nkN_do3fJ9xekchVC-v68A,x8BSbNIcB5y34DgUbsYjAw,Jeremy,1317
3,"2009-03-15 00:00:00",12,7,10,nkN_do3fJ9xekchVC-v68A,bHte4dYHLXJfCQllJZSKQA,Jeremy,1317
3,"2009-03-15 00:00:00",12,8,8,nkN_do3fJ9xekchVC-v68A,lwln20Y19e78B2Pn-nxCVw,Jeremy,1317
4,"2009-09-21 00:00:00",12,11,10,nkN_do3fJ9xekchVC-v68A,AXwP9RfwY1sP1auWe-lcIg,Jeremy,1317
4,"2010-01-19 00:00:00",17,15,14,nkN_do3fJ9xekchVC-v68A,YGCCTBD5ghbScsXHifYjiw,Jeremy,1317
3,"2010-01-21 00:00:00",21,17,19,nkN_do3fJ9xekchVC-v68A,_hLnB9yvgrdLd0d9ye667g,Jeremy,1317
5,"2010-03-16 00:00:00",19,14,17,nkN_do3fJ9xekchVC-v68A,LTmo2Ki0B56dYTkvm6VBlQ,Jeremy,1317
2,"2010-05-18 00:00:00",17,9,9,nkN_do3fJ9xekchVC-v68A,HuSuy4pz_RTPMzND7JZ6NA,Jeremy,1317
3,"2010-05-18 00:00:00",31,15,18,nkN_do3fJ9xekchVC-v68A,S3WMdOR3x22itbN_ngYN7g,Jeremy,1317
4,"2010-08-25 00:00:00",8,4,4,nkN_do3fJ9xekchVC-v68A,SExQ_CnKIavok_ncy5Qtaw,Jeremy,1317
4,"2010-10-28 00:00:00",11,7,7,nkN_do3fJ9xekchVC-v68A,w6HZx1iXOJ1lJKqktjFpow,Jeremy,1317
3,"2011-02-16 00:00:00",7,7,9,nkN_do3fJ9xekchVC-v68A,av088PzkE-gzNZyQuzYAyQ,Jeremy,1317
3,"2011-02-18 00:00:00",33,14,20,nkN_do3fJ9xekchVC-v68A,oPz5XZ2wTaloLci6pzP6bw,Jeremy,1317
3,"2012-01-27 00:00:00",18,10,14,nkN_do3fJ9xekchVC-v68A,0JGyqE3LmhQNN9vMiinUFw,Jeremy,1317
4,"2012-02-07 00:00:00",11,5,11,nkN_do3fJ9xekchVC-v68A,3vI0nUg5sf-9dkYYgxfP-Q,Jeremy,1317
4,"2012-08-08 00:00:00",23,8,16,nkN_do3fJ9xekchVC-v68A,nPbVg2qCM0RNP-tVMp4TUw,Jeremy,1317
2,"2012-11-15 00:00:00",22,8,11,nkN_do3fJ9xekchVC-v68A,3US66SIj8Y_LANn0Po4hcg,Jeremy,1317
5,"2013-04-09 00:00:00",12,7,12,nkN_do3fJ9xekchVC-v68A,OegHbCMK3fNRcJgaptl7IA,Jeremy,1317
4,"2013-04-27 00:00:00",17,6,9,nkN_do3fJ9xekchVC-v68A,q4PwVSBgR-DAJyxWO4hHZA,Jeremy,1317
5,"2013-07-26 00:00:00",11,6,9,nkN_do3fJ9xekchVC-v68A,WJuW9DRUgdSvgqBR_mDHEw,Jeremy,1317
4,"2014-03-19 00:00:00",10,8,14,nkN_do3fJ9xekchVC-v68A,OxNDFVMuEdrg4N2OVGfLTQ,Jeremy,1317
4,"2014-03-19 00:00:00",7,3,10,nkN_do3fJ9xekchVC-v68A,Pq0VLZtfTzTNT8jTLjNrJg,Jeremy,1317
